annee,or_kg_francs,or_kg_euros
1960,5556.388474229994,847.0659622856367
1961,5564.570839231709,848.313355788826
1962,5572.740343934797,849.5587887521282
1963,5561.87660666926,847.9026226824715
1964,5574.74655052068,849.8646329745212
1965,5589.214386476562,852.0702403475475
1966,5724.081624212507,872.6306181979165
1967,5867.361426295595,894.4734832154539
1968,6703.438375738111,1021.9325924928175
1969,7147.175263699137,1089.5798449744627
1970,6401.457987487753,975.8959790790788
1971,7038.8529683601155,1073.0662175051284
1972,9751.856422687768,1486.6609278790786
1973,15700.873672103433,2393.582761080899
1974,24802.86834042939,3781.1729031673403
1975,24246.752375927314,3696.393570908964
1976,18382.74234345403,2802.431004388097
1977,21341.717013449765,3253.5237848593374
1978,27358.99930003966,4170.852555890045
1979,42496.56102754403,6478.558964618722
1980,83109.78276229234,12670.004704926136
1981,76229.2471432004,11621.073811728573
1982,73531.29602540126,11209.773815265522
1983,95673.65022035093,14585.353951608251
1984,92207.66213505752,14056.967474248695
1985,90679.2966630663,13823.969660064044
1986,97081.36551473886,14799.958764787763
1987,107798.70757085265,16433.807028639476
1988,95806.99994284884,14605.682985751937
1989,75175.75012707262,11460.46922695735
1990,67075.92252194778,10225.65846876362
1991,62231.637075376726,9487.151913216374
1992,57967.54142932343,8837.094722569227
1993,59523.13408255375,9074.243293775926
1994,62322.03597251867,9500.933136245008
1995,61139.19393088557,9320.61002945095
1996,65660.03365042886,10009.807601783175
1997,59417.258887705226,9058.102724371449
1998,55814.21045508328,8508.821531759442
1999,55285.552794020754,8428.228190875432
2000,63571.957631308935,9691.482464751338
2001,64020.320555803606,9759.834951956242
2002,69239.762709293,10555.533778783214
2003,68193.93404392657,10396.098226549388
2004,69033.54950723708,10524.09677878841
2005,76910.6491874889,11724.952883723918
2006,101813.3924423523,15521.351619443394
2007,107057.65694589487,16320.834589141494
2008,125046.60594393745,19063.232185026984
2009,147645.9532151081,22508.4804667239
2010,196267.98093504456,29920.86080871834
2011,238626.59371276462,36378.38969822178
2012,274544.1335390518,41853.98334632481
2013,223216.09005218992,34029.07356003365
2014,200308.14002118245,30536.779090882857
2015,220185.84420054287,33567.115557962316
2016,237621.38343839426,36225.14637977707
2017,235957.16824094727,35971.43840845471
2018,227469.42187778183,34677.48981682974
2019,261386.3055971929,39848.08540760948
2020,328423.3536304855,50067.817498782
2021,322551.14904807037,49172.6056811758
2022,360648.6057930025,54980.52552118546
2023,376510.2983720457,57398.624966582516
2024,421030.92307674105,64185.7504496089
